eccentricity_pct,noise_level,spatial_freq_cpd,contrast_amplitude,accuracy
0.0,high,0.4,0.6,0.5
0.0,high,0.4,0.8,0.5
0.0,high,0.4,1.0,0.6
0.0,high,0.8,0.6,0.36666666666666664
0.0,high,0.8,0.8,0.4666666666666667
0.0,high,0.8,1.0,0.5
0.0,high,1.6,0.6,0.5666666666666667
0.0,high,1.6,0.8,0.4666666666666667
0.0,high,1.6,1.0,0.4
0.0,low,0.4,0.6,0.5
0.0,low,0.4,0.8,0.5333333333333333
0.0,low,0.4,1.0,0.5
0.0,low,0.8,0.6,0.5333333333333333
0.0,low,0.8,0.8,0.5
0.0,low,0.8,1.0,0.5
0.0,low,1.6,0.6,0.5
0.0,low,1.6,0.8,0.5
0.0,low,1.6,1.0,0.5
0.0,none,0.4,0.6,0.6333333333333333
0.0,none,0.4,0.8,0.5666666666666667
0.0,none,0.4,1.0,0.36666666666666664
0.0,none,0.8,0.6,0.5
0.0,none,0.8,0.8,0.43333333333333335
0.0,none,0.8,1.0,0.5
0.0,none,1.6,0.6,0.5
0.0,none,1.6,0.8,0.43333333333333335
0.0,none,1.6,1.0,0.4
50.0,high,0.4,0.6,0.5
50.0,high,0.4,0.8,0.4666666666666667
50.0,high,0.4,1.0,0.43333333333333335
50.0,high,0.8,0.6,0.5
50.0,high,0.8,0.8,0.6
50.0,high,0.8,1.0,0.36666666666666664
50.0,high,1.6,0.6,0.36666666666666664
50.0,high,1.6,0.8,0.5
50.0,high,1.6,1.0,0.5
50.0,low,0.4,0.6,0.5333333333333333
50.0,low,0.4,0.8,0.6
50.0,low,0.4,1.0,0.5
50.0,low,0.8,0.6,0.4
50.0,low,0.8,0.8,0.5666666666666667
50.0,low,0.8,1.0,0.43333333333333335
50.0,low,1.6,0.6,0.5
50.0,low,1.6,0.8,0.5
50.0,low,1.6,1.0,0.4666666666666667
50.0,none,0.4,0.6,0.5333333333333333
50.0,none,0.4,0.8,0.5666666666666667
50.0,none,0.4,1.0,0.4666666666666667
50.0,none,0.8,0.6,0.43333333333333335
50.0,none,0.8,0.8,0.43333333333333335
50.0,none,0.8,1.0,0.5333333333333333
50.0,none,1.6,0.6,0.5333333333333333
50.0,none,1.6,0.8,0.43333333333333335
50.0,none,1.6,1.0,0.5
