trial,eccentricity_pct,noise_level,spatial_freq_cpd,contrast_amplitude,offset_deg,abs_offset_deg,side,true_choice,model_choice,model_raw_text,correct,api_error
0,50.0,low,0.8,0.6,-6.0,6.0,-1,CCW,CW,CW,0,
1,50.0,none,1.6,1.0,16.0,16.0,1,CW,CW,CW,1,
2,0.0,low,0.4,0.8,-16.0,16.0,1,CCW,CW,CW,0,
3,0.0,low,0.8,0.6,45.0,45.0,-1,CW,CW,CW,1,
4,50.0,high,0.4,0.8,-16.0,16.0,1,CCW,CW,CW,0,
5,0.0,high,1.6,0.8,6.0,6.0,-1,CW,CW,CW,1,
6,50.0,low,0.8,0.6,16.0,16.0,-1,CW,CCW,CCW,0,
7,0.0,low,0.4,0.8,45.0,45.0,1,CW,CW,CW,1,
8,0.0,high,0.8,0.8,16.0,16.0,1,CW,CW,CW,1,
9,0.0,high,0.4,0.6,-45.0,45.0,1,CCW,CCW,CCW,1,
10,50.0,none,0.4,1.0,45.0,45.0,1,CW,CW,CW,1,
11,50.0,none,0.4,0.6,6.0,6.0,1,CW,CW,CW,1,
12,50.0,low,0.4,0.6,16.0,16.0,1,CW,CW,CW,1,
13,0.0,none,0.4,0.6,45.0,45.0,-1,CW,CW,CW,1,
14,0.0,high,1.6,1.0,45.0,45.0,1,CW,CW,CW,1,
15,50.0,low,0.8,0.6,-16.0,16.0,-1,CCW,CW,CW,0,
16,0.0,high,0.8,0.8,-45.0,45.0,-1,CCW,CW,CW,0,
17,50.0,low,0.4,0.6,-45.0,45.0,1,CCW,CW,CW,0,
18,50.0,high,0.8,0.8,6.0,6.0,1,CW,CW,CW,1,
19,0.0,low,0.8,0.6,6.0,6.0,1,CW,CW,CW,1,
20,0.0,none,1.6,0.8,45.0,45.0,-1,CW,CW,CW,1,
21,0.0,low,1.6,1.0,-6.0,6.0,1,CCW,CW,CW,0,
22,50.0,high,0.8,1.0,45.0,45.0,-1,CW,CCW,CCW,0,
23,0.0,low,0.4,0.6,6.0,6.0,-1,CW,CW,CW,1,
24,50.0,none,0.4,1.0,16.0,16.0,-1,CW,CW,CW,1,
25,0.0,none,0.8,0.6,-16.0,16.0,-1,CCW,CW,CW,0,
26,50.0,low,1.6,0.8,-6.0,6.0,-1,CCW,CCW,CCW,1,
27,0.0,high,0.8,0.8,-6.0,6.0,-1,CCW,CW,CW,0,
28,50.0,high,0.8,1.0,-6.0,6.0,1,CCW,CW,CW,0,
29,0.0,low,0.4,1.0,16.0,16.0,1,CW,CW,CW,1,
30,50.0,none,0.8,1.0,45.0,45.0,1,CW,CW,CW,1,
31,50.0,high,0.4,1.0,6.0,6.0,-1,CW,CCW,CCW,0,
32,50.0,low,0.8,0.6,6.0,6.0,1,CW,CW,CW,1,
33,50.0,low,1.6,0.8,45.0,45.0,1,CW,CW,CW,1,
34,0.0,high,1.6,1.0,-6.0,6.0,-1,CCW,CCW,CCW,1,
