eccentricity_pct,noise_level,spatial_freq_cpd,contrast_amplitude,offset_deg,successes,n_valid,accuracy,p_one_sided_vs_0p5,significant_at_0p05
0.0,high,0.4,0.6,-45.0,6,6,1.0,0.015625,True
0.0,high,0.4,0.6,-6.0,6,6,1.0,0.015625,True
0.0,high,0.4,1.0,45.0,6,6,1.0,0.015625,True
0.0,high,0.8,0.8,16.0,6,6,1.0,0.015625,True
0.0,high,0.8,0.8,45.0,6,6,1.0,0.015625,True
0.0,high,0.8,1.0,16.0,6,6,1.0,0.015625,True
0.0,low,0.4,0.6,6.0,6,6,1.0,0.015625,True
0.0,low,0.4,0.6,16.0,6,6,1.0,0.015625,True
0.0,low,0.4,0.6,45.0,6,6,1.0,0.015625,True
0.0,low,0.4,0.8,6.0,6,6,1.0,0.015625,True
0.0,low,0.4,0.8,16.0,6,6,1.0,0.015625,True
0.0,low,0.4,0.8,45.0,6,6,1.0,0.015625,True
0.0,low,0.4,1.0,6.0,6,6,1.0,0.015625,True
0.0,low,0.4,1.0,16.0,6,6,1.0,0.015625,True
0.0,low,0.4,1.0,45.0,6,6,1.0,0.015625,True
0.0,low,0.8,0.6,16.0,6,6,1.0,0.015625,True
0.0,low,0.8,0.6,45.0,6,6,1.0,0.015625,True
0.0,low,0.8,0.8,6.0,6,6,1.0,0.015625,True
0.0,low,0.8,0.8,16.0,6,6,1.0,0.015625,True
0.0,low,0.8,0.8,45.0,6,6,1.0,0.015625,True
0.0,low,0.8,1.0,6.0,6,6,1.0,0.015625,True
0.0,low,0.8,1.0,16.0,6,6,1.0,0.015625,True
0.0,low,0.8,1.0,45.0,6,6,1.0,0.015625,True
0.0,low,1.6,0.6,6.0,6,6,1.0,0.015625,True
0.0,low,1.6,0.6,16.0,6,6,1.0,0.015625,True
0.0,low,1.6,0.6,45.0,6,6,1.0,0.015625,True
0.0,low,1.6,0.8,6.0,6,6,1.0,0.015625,True
0.0,low,1.6,0.8,45.0,6,6,1.0,0.015625,True
0.0,low,1.6,1.0,6.0,6,6,1.0,0.015625,True
0.0,low,1.6,1.0,45.0,6,6,1.0,0.015625,True
0.0,none,0.4,0.6,16.0,6,6,1.0,0.015625,True
0.0,none,0.4,0.6,45.0,6,6,1.0,0.015625,True
0.0,none,0.8,0.6,6.0,6,6,1.0,0.015625,True
0.0,none,0.8,0.6,16.0,6,6,1.0,0.015625,True
0.0,none,0.8,0.6,45.0,6,6,1.0,0.015625,True
0.0,none,0.8,0.8,6.0,6,6,1.0,0.015625,True
0.0,none,0.8,0.8,16.0,6,6,1.0,0.015625,True
0.0,none,0.8,0.8,45.0,6,6,1.0,0.015625,True
0.0,none,0.8,1.0,6.0,6,6,1.0,0.015625,True
0.0,none,0.8,1.0,16.0,6,6,1.0,0.015625,True
0.0,none,0.8,1.0,45.0,6,6,1.0,0.015625,True
0.0,none,1.6,0.6,6.0,6,6,1.0,0.015625,True
0.0,none,1.6,0.6,16.0,6,6,1.0,0.015625,True
0.0,none,1.6,0.6,45.0,6,6,1.0,0.015625,True
0.0,none,1.6,0.8,6.0,6,6,1.0,0.015625,True
0.0,none,1.6,0.8,45.0,6,6,1.0,0.015625,True
0.0,none,1.6,1.0,6.0,6,6,1.0,0.015625,True
0.0,none,1.6,1.0,45.0,6,6,1.0,0.015625,True
50.0,high,1.6,0.8,16.0,6,6,1.0,0.015625,True
50.0,low,0.4,0.8,16.0,6,6,1.0,0.015625,True
50.0,low,0.4,0.8,45.0,6,6,1.0,0.015625,True
50.0,low,0.4,1.0,16.0,6,6,1.0,0.015625,True
50.0,low,0.8,0.6,16.0,6,6,1.0,0.015625,True
50.0,low,0.8,0.8,6.0,6,6,1.0,0.015625,True
50.0,low,0.8,0.8,16.0,6,6,1.0,0.015625,True
50.0,low,0.8,0.8,45.0,6,6,1.0,0.015625,True
50.0,low,0.8,1.0,45.0,6,6,1.0,0.015625,True
50.0,low,1.6,0.6,6.0,6,6,1.0,0.015625,True
50.0,low,1.6,0.8,45.0,6,6,1.0,0.015625,True
50.0,none,0.4,0.6,6.0,6,6,1.0,0.015625,True
50.0,none,0.4,0.6,16.0,6,6,1.0,0.015625,True
50.0,none,0.4,0.8,6.0,6,6,1.0,0.015625,True
50.0,none,0.4,0.8,16.0,6,6,1.0,0.015625,True
50.0,none,0.4,0.8,45.0,6,6,1.0,0.015625,True
50.0,none,0.4,1.0,6.0,6,6,1.0,0.015625,True
50.0,none,0.4,1.0,16.0,6,6,1.0,0.015625,True
50.0,none,0.8,0.6,6.0,6,6,1.0,0.015625,True
50.0,none,0.8,0.8,6.0,6,6,1.0,0.015625,True
50.0,none,0.8,0.8,16.0,6,6,1.0,0.015625,True
50.0,none,0.8,0.8,45.0,6,6,1.0,0.015625,True
50.0,none,0.8,1.0,6.0,6,6,1.0,0.015625,True
50.0,none,0.8,1.0,45.0,6,6,1.0,0.015625,True
50.0,none,1.6,0.6,6.0,6,6,1.0,0.015625,True
50.0,none,1.6,0.6,16.0,6,6,1.0,0.015625,True
50.0,none,1.6,0.8,6.0,6,6,1.0,0.015625,True
50.0,none,1.6,0.8,16.0,6,6,1.0,0.015625,True
50.0,none,1.6,1.0,6.0,6,6,1.0,0.015625,True
50.0,none,1.6,1.0,16.0,6,6,1.0,0.015625,True
