trial,eccentricity_pct,noise_level,spatial_freq_cpd,contrast_amplitude,offset_deg,abs_offset_deg,side,true_choice,model_choice,model_raw_text,correct,api_error
0,50.0,low,1.6,0.8,-45.0,45.0,1,CCW,CW,CW,0,
1,0.0,high,0.4,0.8,-16.0,16.0,-1,CCW,CCW,CCW,1,
2,50.0,low,1.6,0.6,6.0,6.0,1,CW,CW,CW,1,
3,50.0,low,0.8,0.6,-16.0,16.0,1,CCW,CCW,CCW,1,
4,0.0,none,1.6,0.6,-45.0,45.0,-1,CCW,CCW,CCW,1,
5,0.0,none,1.6,0.6,-16.0,16.0,-1,CCW,CW,CW,0,
6,50.0,low,0.4,0.8,-16.0,16.0,-1,CCW,CCW,CCW,1,
7,50.0,none,0.8,0.8,-16.0,16.0,1,CCW,CW,CW,0,
8,0.0,high,0.4,0.6,-45.0,45.0,-1,CCW,CCW,CCW,1,
9,50.0,medium,0.8,0.8,6.0,6.0,1,CW,CCW,CCW,0,
10,50.0,high,1.6,0.6,-6.0,6.0,-1,CCW,CCW,CCW,1,
11,0.0,high,0.4,1.0,-6.0,6.0,-1,CCW,CCW,CCW,1,
12,50.0,high,0.8,0.6,-16.0,16.0,-1,CCW,CCW,CCW,1,
13,50.0,medium,1.6,1.0,-16.0,16.0,1,CCW,CCW,CCW,1,
14,50.0,none,0.8,1.0,-16.0,16.0,1,CCW,CW,CW,0,
15,0.0,none,0.4,1.0,6.0,6.0,-1,CW,CW,CW,1,
16,50.0,high,0.4,1.0,45.0,45.0,1,CW,CCW,CCW,0,
17,50.0,medium,0.8,0.6,45.0,45.0,1,CW,CCW,CCW,0,
18,50.0,low,0.8,0.6,-6.0,6.0,-1,CCW,CCW,CCW,1,
19,0.0,high,0.8,1.0,16.0,16.0,-1,CW,CCW,CCW,0,
20,0.0,high,1.6,0.8,6.0,6.0,1,CW,CCW,CCW,0,
21,50.0,none,1.6,0.6,6.0,6.0,-1,CW,CW,CW,1,
22,50.0,low,0.8,0.8,16.0,16.0,1,CW,CCW,CCW,0,
23,0.0,low,1.6,0.8,6.0,6.0,1,CW,CCW,CCW,0,
24,50.0,none,0.4,0.6,-45.0,45.0,1,CCW,CCW,CCW,1,
25,0.0,high,0.4,0.8,16.0,16.0,-1,CW,CCW,CCW,0,
26,0.0,medium,0.4,1.0,-45.0,45.0,-1,CCW,CCW,CCW,1,
27,0.0,medium,0.4,0.6,-45.0,45.0,-1,CCW,CCW,CCW,1,
28,0.0,high,0.8,0.8,16.0,16.0,1,CW,CCW,CCW,0,
29,0.0,low,0.4,0.8,-16.0,16.0,-1,CCW,CCW,CCW,1,
30,50.0,none,1.6,0.8,-45.0,45.0,1,CCW,CW,CW,0,
31,50.0,medium,1.6,0.8,16.0,16.0,-1,CW,CCW,CCW,0,
32,50.0,high,1.6,1.0,-16.0,16.0,-1,CCW,CCW,CCW,1,
33,50.0,high,0.8,0.6,-45.0,45.0,1,CCW,CCW,CCW,1,
34,0.0,none,1.6,0.6,-45.0,45.0,-1,CCW,CCW,CCW,1,
35,50.0,high,0.8,0.6,-16.0,16.0,-1,CCW,CCW,CCW,1,
36,0.0,none,1.6,0.6,6.0,6.0,1,CW,CW,CW,1,
37,0.0,medium,0.4,1.0,45.0,45.0,1,CW,CCW,CCW,0,
38,50.0,none,0.4,0.6,16.0,16.0,1,CW,CW,CW,1,
39,50.0,none,1.6,0.6,45.0,45.0,1,CW,CW,CW,1,
40,0.0,low,0.8,0.6,6.0,6.0,1,CW,CCW,CCW,0,
41,0.0,high,0.4,0.8,-45.0,45.0,-1,CCW,CCW,CCW,1,
42,0.0,none,0.4,0.6,-45.0,45.0,-1,CCW,CCW,CCW,1,
43,0.0,low,0.4,0.6,-16.0,16.0,1,CCW,CCW,CCW,1,
44,50.0,none,0.8,0.6,6.0,6.0,-1,CW,CW,CW,1,
45,50.0,medium,1.6,0.6,-45.0,45.0,1,CCW,CCW,CCW,1,
46,50.0,medium,0.8,0.6,-6.0,6.0,-1,CCW,CCW,CCW,1,
47,50.0,none,0.4,0.8,-16.0,16.0,-1,CCW,CCW,CCW,1,
48,0.0,medium,1.6,1.0,-45.0,45.0,1,CCW,CCW,CCW,1,
49,50.0,none,0.4,0.8,16.0,16.0,-1,CW,CCW,CCW,0,
50,0.0,none,0.8,0.6,-6.0,6.0,-1,CCW,CCW,CCW,1,
51,0.0,medium,1.6,0.6,-16.0,16.0,-1,CCW,CCW,CCW,1,
52,0.0,low,0.4,1.0,6.0,6.0,-1,CW,CCW,CCW,0,
53,0.0,low,0.4,0.8,-45.0,45.0,1,CCW,CCW,CCW,1,
54,0.0,low,0.4,0.8,16.0,16.0,-1,CW,CW,CW,1,
55,0.0,medium,0.8,1.0,16.0,16.0,-1,CW,CCW,CCW,0,
56,50.0,low,1.6,0.8,45.0,45.0,1,CW,CCW,CCW,0,
57,50.0,none,0.8,1.0,45.0,45.0,-1,CW,CCW,CCW,0,
58,50.0,low,0.4,1.0,6.0,6.0,-1,CW,CCW,CCW,0,
59,50.0,high,0.4,0.8,-45.0,45.0,1,CCW,CCW,CCW,1,
60,50.0,high,0.4,0.8,16.0,16.0,1,CW,CCW,CCW,0,
61,0.0,high,1.6,0.6,16.0,16.0,1,CW,CCW,CCW,0,
62,0.0,medium,0.8,0.8,-16.0,16.0,-1,CCW,CCW,CCW,1,
63,0.0,medium,1.6,0.6,-16.0,16.0,-1,CCW,CCW,CCW,1,
64,50.0,medium,0.8,0.8,16.0,16.0,-1,CW,CCW,CCW,0,
65,50.0,low,0.8,0.6,45.0,45.0,1,CW,CCW,CCW,0,
66,50.0,low,1.6,0.8,45.0,45.0,1,CW,CCW,CCW,0,
67,50.0,low,0.8,0.6,6.0,6.0,1,CW,CCW,CCW,0,
68,0.0,medium,0.8,0.8,-6.0,6.0,1,CCW,CCW,CCW,1,
69,0.0,medium,0.8,0.8,-45.0,45.0,-1,CCW,CCW,CCW,1,
70,50.0,high,1.6,1.0,16.0,16.0,-1,CW,CCW,CCW,0,
71,50.0,low,1.6,1.0,45.0,45.0,1,CW,CCW,CCW,0,
72,0.0,high,0.4,1.0,6.0,6.0,-1,CW,CCW,CCW,0,
73,50.0,none,0.8,0.8,-45.0,45.0,1,CCW,CCW,CCW,1,
74,50.0,low,0.8,1.0,45.0,45.0,-1,CW,CCW,CCW,0,
75,0.0,none,1.6,0.6,-45.0,45.0,1,CCW,CCW,CCW,1,
76,50.0,none,0.4,0.6,16.0,16.0,-1,CW,CCW,CCW,0,
77,0.0,medium,0.4,1.0,-16.0,16.0,-1,CCW,CCW,CCW,1,
78,50.0,none,0.8,1.0,-45.0,45.0,1,CCW,CCW,CCW,1,
79,50.0,medium,0.8,1.0,-45.0,45.0,1,CCW,CW,CW,0,
80,50.0,none,0.8,0.6,-16.0,16.0,-1,CCW,CW,CW,0,
81,50.0,low,0.8,0.6,-6.0,6.0,-1,CCW,CCW,CCW,1,
82,0.0,medium,0.8,0.8,6.0,6.0,1,CW,CCW,CCW,0,
83,0.0,none,1.6,0.6,45.0,45.0,-1,CW,CCW,CCW,0,
84,0.0,none,1.6,0.6,45.0,45.0,-1,CW,CCW,CCW,0,
85,50.0,high,1.6,0.6,16.0,16.0,1,CW,CW,CW,1,
86,0.0,high,0.8,0.6,-6.0,6.0,-1,CCW,CCW,CCW,1,
87,50.0,low,0.4,0.8,-45.0,45.0,-1,CCW,CCW,CCW,1,
88,50.0,high,0.4,1.0,45.0,45.0,1,CW,CCW,CCW,0,
89,50.0,none,0.8,0.8,16.0,16.0,1,CW,CW,CW,1,
90,0.0,medium,0.4,1.0,6.0,6.0,-1,CW,CCW,CCW,0,
91,50.0,medium,1.6,0.6,-6.0,6.0,1,CCW,CCW,CCW,1,
92,50.0,none,1.6,0.6,-45.0,45.0,1,CCW,CW,CW,0,
93,50.0,low,0.4,1.0,6.0,6.0,-1,CW,CCW,CCW,0,
94,50.0,medium,0.4,0.6,16.0,16.0,-1,CW,CW,CW,1,
95,0.0,medium,1.6,0.8,-6.0,6.0,1,CCW,CCW,CCW,1,
96,0.0,low,1.6,0.6,6.0,6.0,1,CW,CCW,CCW,0,
97,50.0,low,0.4,0.6,-6.0,6.0,-1,CCW,CCW,CCW,1,
98,0.0,high,1.6,0.8,45.0,45.0,-1,CW,CCW,CCW,0,
99,50.0,high,0.4,0.6,-6.0,6.0,1,CCW,CW,CW,0,
100,50.0,high,0.4,0.6,-45.0,45.0,1,CCW,CCW,CCW,1,
101,0.0,low,1.6,0.6,-6.0,6.0,-1,CCW,CW,CW,0,
102,0.0,none,1.6,0.6,45.0,45.0,1,CW,CCW,CCW,0,
103,0.0,medium,1.6,1.0,45.0,45.0,-1,CW,CCW,CCW,0,
104,50.0,low,0.4,1.0,-16.0,16.0,-1,CCW,CCW,CCW,1,
