source_combo_index,source_accuracy,replicate,eccentricity_pct,noise_level,spatial_freq_cpd,contrast_amplitude,offset_deg,side,true_choice,model_choice,model_raw_text,correct,api_error
0,1.0,0,0.0,high,0.4,0.6,-45.0,1,CCW,CCW,CCW,1,
0,1.0,1,0.0,high,0.4,0.6,-45.0,1,CCW,CCW,CCW,1,
0,1.0,2,0.0,high,0.4,0.6,-45.0,-1,CCW,CCW,CCW,1,
0,1.0,3,0.0,high,0.4,0.6,-45.0,1,CCW,CCW,CCW,1,
0,1.0,4,0.0,high,0.4,0.6,-45.0,-1,CCW,CCW,CCW,1,
0,1.0,5,0.0,high,0.4,0.6,-45.0,-1,CCW,CCW,CCW,1,
0,1.0,6,0.0,high,0.4,0.6,-45.0,-1,CCW,CCW,CCW,1,
0,1.0,7,0.0,high,0.4,0.6,-45.0,-1,CCW,CCW,CCW,1,
0,1.0,8,0.0,high,0.4,0.6,-45.0,-1,CCW,CCW,CCW,1,
0,1.0,9,0.0,high,0.4,0.6,-45.0,-1,CCW,CCW,CCW,1,
1,1.0,0,0.0,high,0.4,0.8,-45.0,1,CCW,CCW,CCW,1,
1,1.0,1,0.0,high,0.4,0.8,-45.0,1,CCW,CCW,CCW,1,
1,1.0,2,0.0,high,0.4,0.8,-45.0,1,CCW,CCW,CCW,1,
1,1.0,3,0.0,high,0.4,0.8,-45.0,1,CCW,CCW,CCW,1,
1,1.0,4,0.0,high,0.4,0.8,-45.0,-1,CCW,CCW,CCW,1,
1,1.0,5,0.0,high,0.4,0.8,-45.0,1,CCW,CCW,CCW,1,
1,1.0,6,0.0,high,0.4,0.8,-45.0,-1,CCW,CCW,CCW,1,
1,1.0,7,0.0,high,0.4,0.8,-45.0,-1,CCW,CCW,CCW,1,
1,1.0,8,0.0,high,0.4,0.8,-45.0,-1,CCW,CCW,CCW,1,
1,1.0,9,0.0,high,0.4,0.8,-45.0,-1,CCW,CCW,CCW,1,
2,1.0,0,0.0,high,0.4,0.8,-16.0,-1,CCW,CCW,CCW,1,
2,1.0,1,0.0,high,0.4,0.8,-16.0,-1,CCW,CCW,CCW,1,
2,1.0,2,0.0,high,0.4,0.8,-16.0,-1,CCW,CCW,CCW,1,
2,1.0,3,0.0,high,0.4,0.8,-16.0,1,CCW,CCW,CCW,1,
2,1.0,4,0.0,high,0.4,0.8,-16.0,1,CCW,CCW,CCW,1,
2,1.0,5,0.0,high,0.4,0.8,-16.0,-1,CCW,CCW,CCW,1,
2,1.0,6,0.0,high,0.4,0.8,-16.0,-1,CCW,CCW,CCW,1,
2,1.0,7,0.0,high,0.4,0.8,-16.0,1,CCW,CCW,CCW,1,
2,1.0,8,0.0,high,0.4,0.8,-16.0,1,CCW,CCW,CCW,1,
2,1.0,9,0.0,high,0.4,0.8,-16.0,1,CCW,CCW,CCW,1,
3,1.0,0,0.0,high,0.4,0.8,-6.0,-1,CCW,CW,CW,0,
3,1.0,1,0.0,high,0.4,0.8,-6.0,-1,CCW,CCW,CCW,1,
3,1.0,2,0.0,high,0.4,0.8,-6.0,1,CCW,CCW,CCW,1,
3,1.0,3,0.0,high,0.4,0.8,-6.0,1,CCW,CCW,CCW,1,
3,1.0,4,0.0,high,0.4,0.8,-6.0,1,CCW,CCW,CCW,1,
3,1.0,5,0.0,high,0.4,0.8,-6.0,1,CCW,CCW,CCW,1,
3,1.0,6,0.0,high,0.4,0.8,-6.0,-1,CCW,CW,CW,0,
3,1.0,7,0.0,high,0.4,0.8,-6.0,-1,CCW,CCW,CCW,1,
