trial,eccentricity_pct,noise_level,spatial_freq_cpd,contrast_amplitude,offset_deg,abs_offset_deg,side,true_choice,model_choice,model_raw_text,correct,api_error
0,50.0,very_high,0.8,1.0,-45.0,45.0,1,CCW,CW,CW,0,
1,0.0,very_high,0.4,0.6,-8.0,8.0,-1,CCW,CCW,CCW,1,
2,50.0,low,0.4,1.0,8.0,8.0,1,CW,CCW,CCW,0,
3,0.0,very_high,0.4,1.0,45.0,45.0,-1,CW,CCW,CCW,0,
4,50.0,low,0.4,1.0,-45.0,45.0,-1,CCW,CCW,CCW,1,
5,0.0,low,1.5,0.6,-8.0,8.0,-1,CCW,CW,CW,0,
6,0.0,low,0.4,1.0,-8.0,8.0,-1,CCW,CCW,CCW,1,
7,0.0,low,0.4,0.6,-45.0,45.0,1,CCW,CCW,CCW,1,
8,0.0,very_high,0.8,0.6,45.0,45.0,1,CW,CCW,CCW,0,
9,0.0,low,0.8,0.6,-45.0,45.0,1,CCW,CCW,CCW,1,
10,0.0,low,1.5,0.6,45.0,45.0,1,CW,CCW,CCW,0,
11,50.0,very_high,0.4,1.0,-8.0,8.0,-1,CCW,CCW,CCW,1,
12,50.0,low,1.5,0.6,-8.0,8.0,1,CCW,CW,CW,0,
13,50.0,very_high,0.4,0.6,-8.0,8.0,-1,CCW,CCW,CCW,1,
14,50.0,very_high,0.8,1.0,8.0,8.0,-1,CW,CCW,CCW,0,
15,0.0,very_high,0.4,0.6,-45.0,45.0,1,CCW,CCW,CCW,1,
16,0.0,low,1.5,0.6,8.0,8.0,-1,CW,CCW,CCW,0,
17,50.0,low,0.8,1.0,-45.0,45.0,-1,CCW,CCW,CCW,1,
18,50.0,low,0.8,0.6,-8.0,8.0,-1,CCW,CCW,CCW,1,
19,50.0,very_high,1.5,0.6,8.0,8.0,1,CW,CCW,CCW,0,
20,50.0,low,0.8,1.0,-8.0,8.0,-1,CCW,CCW,CCW,1,
21,50.0,very_high,1.5,1.0,-8.0,8.0,1,CCW,CCW,CCW,1,
22,0.0,low,1.5,0.6,8.0,8.0,-1,CW,CCW,CCW,0,
23,0.0,low,1.5,1.0,-8.0,8.0,1,CCW,CW,CW,0,
24,50.0,very_high,1.5,1.0,45.0,45.0,-1,CW,CCW,CCW,0,
25,0.0,very_high,1.5,0.6,-8.0,8.0,-1,CCW,CCW,CCW,1,
26,0.0,very_high,0.4,1.0,8.0,8.0,1,CW,CCW,CCW,0,
27,50.0,low,1.5,1.0,-8.0,8.0,1,CCW,CW,CW,0,
28,0.0,low,1.5,1.0,8.0,8.0,1,CW,CCW,CCW,0,
29,0.0,very_high,0.8,1.0,-8.0,8.0,1,CCW,CCW,CCW,1,
30,0.0,very_high,0.4,0.6,45.0,45.0,-1,CW,CCW,CCW,0,
